source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
4650870826138439552,84.73776928557622,-72.33980223484924,RRab,0.5821725466477183,0.32099423,0.03486888,0.16639759,0.040831372,0.09670077,0.023593886,3.7504265,0.13430843,1.4420823,0.23055018,-2.2455002718948367,0.4134497298859281,0.093323,0.03717754,18.828731854610552,1.0165203456434415
4657084853687459456,84.73815512440581,-70.98133159323801,RRab,0.6660272376147218,0.21989341,0.016799828,0.14092284,0.019795207,0.056057267,0.013136943,4.627581,0.20616116,3.6798737,0.3307353,-0.6073698907617063,0.5961995798616282,0.175265,0.072078906,18.33394539529328,0.6576898526153366
4651022112151636352,84.7400071990236,-71.28585619043263,RRab,0.5576629970434508,0.30202597,0.041065104,0.14157341,0.03381451,0.07862618,0.03102145,3.9494746,0.122533716,1.9429408,0.34449267,-1.6386652815911518,0.5173545086554003,0.085735,0.026555387,18.57936060348552,0.8741142208541759
4657082830633171968,84.74032353395425,-71.04130252041502,RRab,0.5458359676116841,0.35854578,0.04651974,0.17056128,0.048150606,0.14504607,0.03763329,4.0448055,0.19806948,1.5726273,0.32702094,-1.921119958244847,0.4653068248518682,0.161608,0.06676783,18.47393860230856,0.9725581726783447
4657118113775079424,84.74323337717986,-70.6875108362389,RRab,0.6363682226894833,0.14103982,0.009273884,0.046672992,0.013362833,0.04054644,0.013133923,4.1565576,0.15878724,3.5977693,0.36004156,-0.5199404939266329,0.5941421763925916,0.118361,0.060698025,18.17786768489946,0.6457329133280075
4651012491389674368,84.74583048147558,-71.53762091374249,RRab,0.5651526764154631,0.303177,0.033818074,0.115607925,0.028610935,0.0980325,0.026718654,4.390482,0.2311267,1.4921136,0.2859523,-2.10401057010582,0.4771937156695786,0.094081,0.04248862,18.579416798589627,1.0160402835519988
4657784623974860160,84.74610625492599,-68.78592722158788,RRab,0.5680489481418534,0.29116356,0.046429005,0.10898837,0.025255095,0.09891621,0.030070404,3.871203,0.33527744,1.7770817,0.3967906,-1.8522148641872864,0.5195783132353594,0.214719,0.08118361,18.96903947865244,0.9531004372092322
4657650586680901248,84.7463944962738,-69.44425643069799,RRab,0.7424573280116669,0.18887459,0.0068561113,0.08799141,0.010097454,0.049049098,0.010406676,3.9419584,0.10025631,2.3792508,0.19751015,-2.254142418464752,0.4664401234955926,0.189681,0.10091047,18.64392162573013,1.1042056067998185
4657076748956497408,84.75075797089158,-71.10846964690099,RRab,0.6771289635822795,0.23604774,0.0075040995,0.107721694,0.007912125,0.0606459,0.0067194276,4.1629653,0.0663963,2.2120402,0.16523178,-2.048747959881651,0.4411916148608007,0.140364,0.10925645,18.57694515188686,1.0047925597583631
4657792565376522112,84.75458001071416,-68.63660664807854,RRab,0.5401982164781854,0.36826888,0.042120706,0.14027584,0.041224282,0.13885081,0.047155477,3.969945,0.2659673,1.2699726,0.48545924,-2.1743258574539293,0.5717968422896741,0.133535,0.051593326,18.699140544687104,1.0505410183200734
4650986000081131136,84.75497736928654,-71.74709899736175,RRab,0.57167003134931,0.2825443,0.019822516,0.13167006,0.02376786,0.101177424,0.018183615,4.2630405,0.19260015,2.1861875,0.3349156,-1.4877524239886708,0.5108845007669751,0.128983,0.033383913,18.538480695916828,0.837781097755769
4657084991126417152,84.75602451022787,-70.96865742795671,RRab,0.5114123342171458,0.37422708,0.024361115,0.1687153,0.033335548,0.14345613,0.025659414,3.8741555,0.17648984,1.6895937,0.25588465,-1.620120376905159,0.4293031363667302,0.153262,0.057663124,18.411387180053445,0.8801929432108899
4657827092637480192,84.75641064024218,-68.32088101544672,RRab,0.5693735592070003,0.2873678,0.027934134,0.14809169,0.019567337,0.07432938,0.019611774,4.1588635,0.22123268,2.2572806,0.33449513,-1.4081794895988518,0.5002417432187082,0.078907,0.037936267,18.46163113804768,0.8062354362538566
4657818262201017600,84.75652212656966,-68.51392078379827,RRab,0.5385404879422233,0.25832975,0.025025386,0.13663374,0.024120811,0.07965964,0.029023679,4.4166236,0.19477475,3.353134,0.29904023,-0.2069537480793396,0.5295793986186792,0.083459,0.038694993,18.402889217822217,0.6116933029354231
4657650586680904576,84.76062253401302,-69.44712566411576,RRab,0.4819367021991749,0.3852982,0.022606542,0.18610905,0.020439247,0.09395778,0.016536359,3.7753818,0.10132595,1.7737797,0.24115035,-1.3773957792054206,0.43291826317557264,0.189681,0.10091047,18.46180956673752,0.8346943415602497
4657217860257035776,84.76779520543212,-70.3134372840474,RRab,0.6223273039337911,0.23532213,0.017162066,0.10907214,0.02479347,0.06430397,0.019463234,4.406855,0.2806925,2.2019444,0.4653116,-1.754088800832541,0.5750598062771999,0.213201,0.13732928,18.62224713543311,0.9612814621553295
4657035753628368512,84.76785481388879,-71.07726018581926,RRab,0.5056572399923502,0.3576893,0.029238388,0.15649974,0.025302889,0.121656775,0.01866038,3.9706323,0.14739177,1.8461468,0.20890267,-1.4410196899575438,0.42500765963047543,0.132776,0.08270106,18.330203757308112,0.8354714613806762
4657111482482650880,84.76882502815683,-70.75869613788105,RRab,0.52190588224328,0.3607988,0.0428806,0.117352,0.030611632,0.12232727,0.051072203,3.600891,0.42929053,1.4255332,0.28635535,-1.9265764384502044,0.45746368554421385,0.132776,0.05538695,19.13710464688606,0.953702231564578
4657217173057351168,84.77273633279678,-70.3912061888981,RRab,0.5816218160858352,0.22145672,0.011801882,0.114616096,0.012952326,0.08770259,0.014102116,4.312975,0.16725296,2.3475902,0.2709069,-1.3912662912763856,0.48594241082945366,0.152503,0.07966616,18.896178000757388,0.8117554719960248
4657120351509932544,84.7731777868574,-70.5890706639832,RRab,0.5784486911943791,0.29028994,0.02032389,0.12564792,0.020738492,0.09530281,0.019882303,3.665561,0.15729366,1.4915187,0.258365,-2.178362658128804,0.4349939521714819,0.153262,0.06525038,18.883159018796064,1.0267939043494783
4657120488918335488,84.77358504611227,-70.56430913982746,RRab,0.6271674504118258,0.27773508,0.03666016,0.085673034,0.026157834,0.14616966,0.036430273,4.892246,0.6086967,2.4544106,0.29181397,-1.543633385785633,0.49899678878846626,0.170713,0.05842185,18.365006936819977,0.8407708530127763
4651022043432163328,84.77631181355056,-71.3033075846768,RRab,0.7107314958217297,0.10990434,0.010341319,0.054197222,0.00932015,0.03540598,0.013600551,4.60499,0.21813741,3.2769182,0.31387636,-1.2342566938106,0.5384191335921874,0.090288,0.034142643,18.341980461146967,0.7620280169566085
4651021459326828288,84.77724752110204,-71.36029089361443,RRab,0.5698609879461258,0.19853085,0.016300496,0.1063888,0.016042475,0.040377572,0.014242736,4.232115,0.19231586,2.949946,0.40464082,-0.7597792431009983,0.5813369848888558,0.091805,0.036418818,18.53781489590828,0.687615024290542
4657794622664016256,84.77795167398935,-68.56750472858683,RRab,0.5393608988697743,0.3883206,0.024860166,0.15038775,0.03475489,0.16577026,0.050054837,4.0762587,0.3966164,1.9969457,0.38555664,-1.4863240307272476,0.5451540827847544,0.101669,0.04097117,18.61818102140363,0.8507998721386977
4650976344892524288,84.7795731407851,-71.96438845966235,RRab,0.4474772837668772,0.41673526,0.048906323,0.2437588,0.05996364,0.12766713,0.03678184,3.6419947,0.15275262,1.1781218,0.3966216,-1.7460644329061683,0.4953690711762941,0.091805,0.043247346,18.86205374905373,0.8906033364773148
4650986412397968512,84.77997458896199,-71.73051287305985,RRab,0.6365169393421874,0.10298225,0.0045011006,0.031093683,0.0054153414,0.018092731,0.005996328,4.4386573,0.3030417,2.6559112,0.351525,-1.406112485349141,0.5469608512158962,0.128224,0.033383913,18.44449845261776,0.8293313275395108
4651021459326829696,84.78410396941007,-71.3641677701032,RRab,0.4368637826053648,0.35067597,0.01658933,0.122845456,0.014527068,0.06148692,0.018873138,3.8851488,0.18001372,1.6064196,0.35660088,-1.284559569459775,0.48304028357695344,0.3341,0.0457,18.036657079448737,0.7894121999242062
4651019500820157568,84.7918549249872,-71.42841681051861,RRab,0.5623993841464465,0.29428586,0.017730003,0.14889665,0.025254099,0.10671685,0.02927117,4.0375667,0.17047042,2.1313019,0.28865898,-1.4878927960127784,0.4673292528205127,0.099393,0.041729894,18.602447144563577,0.8420643065199053
4657109730133445120,84.7978337356066,-70.82053240652415,RRab,0.5315370375636574,0.35584998,0.032379925,0.1624536,0.029357264,0.12717274,0.029280279,3.878793,0.33769792,1.6315575,0.30565783,-1.7863665084782987,0.4689218230809886,0.154779,0.072078906,18.468723217853924,0.9317721125800875
4657679139632498432,84.79908345889105,-69.17283429580434,RRab,0.7599708413271997,0.18341516,0.010567833,0.08227381,0.009741243,0.041659858,0.006444713,4.2935886,0.17854092,2.4683287,0.33980614,-2.2676091913659584,0.547448575041596,0.371016,0.28983307,18.18191860670247,1.3332240635723551
4657791259706594816,84.79964957753613,-68.6933246276563,RRab,0.4972018969493325,0.3425852,0.032228626,0.16983394,0.023180712,0.12093189,0.021990001,4.0436625,0.19035043,2.2907786,0.28379488,-0.9761386440687952,0.47273984146590614,0.147951,0.05235205,18.39583499729926,0.7270482113621471
4657784559557784064,84.80922335422206,-68.80951453132339,RRab,0.5585142793623992,0.27422395,0.022196887,0.120543666,0.030058533,0.10679809,0.034338918,3.7046716,0.24441576,1.807936,0.23910913,-1.7702944104613154,0.43718467138260253,0.20789,0.08194234,18.570710358249165,0.9272625853452056
