object_id,period,type,band,mean_mag,err_mag,chi_squared,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
1602245131,0.787377,RRab,r,19.152375,0.028910,2.163542,-1.759867,0.567459,0.124430,0.038695,18.326968,0.939369
1602579061,0.618850,RRab,r,19.320983,0.011824,0.438614,-1.425353,0.473052,0.094081,0.032625,18.489679,0.798892
1602582908,0.487751,RRab,r,19.253344,0.414531,2.233704,-1.570650,0.597124,0.135053,0.044006,18.490815,0.867481
1602670946,0.659434,RRab,r,18.828765,1.266731,0.237478,-1.556344,0.537944,0.107739,0.025797,18.309142,0.861230
1602703838,0.377952,RRc,r,18.897234,0.155311,2.558651,-2.001694,0.355142,0.105462,0.038695,18.470611,0.964869
1602800252,0.543486,RRab,r,18.871891,0.067470,0.020596,-1.491382,0.499650,0.099393,0.055387,18.445105,0.831728
1602894460,0.617952,RRab,r,19.329807,0.365221,0.951184,-1.459310,0.460832,0.066767,0.032625,18.514754,0.809085
1602910607,0.619563,RRab,r,19.192584,0.071665,0.360068,-1.593650,0.537523,0.059939,0.031108,18.601925,0.862029
1602921918,0.468944,RRab,r,18.594082,0.081106,0.435362,-1.576295,0.483492,0.116843,0.058422,18.684901,0.873365
1605374787,0.576164,RRab,r,18.945971,0.019102,0.220474,-1.330610,0.523410,0.105462,0.051593,18.421623,0.791932
1605378762,0.607296,RRab,r,19.242004,0.020679,0.000191,-1.424664,0.494153,0.110015,0.048558,18.342428,0.811014
1605393037,0.517311,RRab,r,19.513421,0.032200,10.527439,-1.601011,0.467189,0.116843,0.046282,18.571647,0.868410
1605396009,0.643633,RRab,r,19.316561,0.045429,2.034392,-1.035370,0.579904,0.104704,0.040212,18.485196,0.727512
1606265766,0.622610,RRab,r,19.118394,0.688043,0.000058,-1.819620,0.492413,0.081942,0.061457,19.022530,0.936581
1606274336,0.457308,RRab,r,19.273309,0.085254,0.010530,-1.279833,0.394515,0.050834,0.035660,18.579407,0.759050
1606670449,0.571650,RRab,r,19.467828,0.017848,10.196891,-1.773447,0.479106,0.067526,0.041730,18.615135,0.910624
1608742784,0.597699,RRab,r,18.918861,0.207850,0.166238,-1.259453,0.513269,0.084218,0.022003,18.431320,0.749255
1608744387,0.575877,RRab,r,19.121354,0.046669,0.264284,-1.554550,0.416422,0.083459,0.022003,18.487278,0.823411
1608745701,0.325601,RRc,r,18.988572,0.058493,0.367855,-1.958647,0.341169,0.088770,0.018209,18.684378,0.935530
1608759319,0.634347,RRab,r,18.959928,0.400664,0.136432,-1.845007,0.465610,0.094840,0.026555,18.734125,0.946302
1608761052,0.767485,RRab,r,18.778809,0.107190,0.283091,-2.560679,0.444149,0.101669,0.019727,18.417326,1.141441
1608825778,0.600668,RRab,r,18.920742,0.020117,4.596258,-1.370343,0.814607,0.078148,0.033384,18.014144,0.870519
1608844070,0.600642,RRab,r,19.274548,0.024665,0.209201,-1.695087,0.418180,0.073596,0.037936,18.552689,0.885732
1608844696,0.551877,RRab,r,19.444850,0.160017,2.343259,-1.735697,0.474557,0.078907,0.025038,18.661290,0.910183
1608859929,0.629018,RRab,r,19.285031,0.763392,5.073198,-1.584812,0.414929,0.091047,0.023520,18.500965,0.842359
1609116979,0.606334,RRab,r,18.839615,0.083143,5.009229,-1.211857,0.515136,0.055386,0.034901,18.413302,0.759386
1609118166,0.593619,RRab,r,19.093864,0.533214,0.008422,-1.994002,0.431295,0.050834,0.038695,18.666041,0.976880
1609120560,0.689930,RRab,r,19.180520,0.398315,1.546818,-2.027202,0.564584,0.047040,0.025038,18.567066,1.009797
2709691540,0.276782,RRc,r,17.863386,0.153487,2.653004,-1.300005,0.344175,0.113808,0.061457,18.444038,0.774254
2712069466,0.360760,RRc,r,17.637300,0.079880,2.116714,-1.656645,0.371188,0.042488,0.053111,18.490387,0.860924
464491290,0.599149,RRab,i,18.295971,0.094208,1.944824,-1.540915,0.489947,0.094840,0.025038,18.497007,0.841271
464501920,0.633544,RRab,i,19.026495,0.018671,32.703065,-2.409089,0.391690,0.086494,0.024279,18.640086,1.100498
464504104,0.554040,RRab,i,19.150308,0.146409,1.012603,-1.208306,0.467985,0.078907,0.031108,18.489275,0.753986
464516171,0.582576,RRab,i,19.208708,0.018556,4.234914,-1.595786,0.433394,0.079666,0.026555,18.629110,0.855497
464521799,0.588301,RRab,i,18.820234,0.176891,8.407698,-1.854747,0.456262,0.075872,0.036419,18.474595,0.926925
464523050,0.392483,RRc,i,19.022061,0.019984,0.206443,-1.951360,0.367137,0.064491,0.019727,18.316473,0.954759
464532276,0.658962,RRab,i,18.735764,0.381603,22.513212,-1.571340,0.464802,0.065250,0.033384,18.366789,0.861527
464550080,0.537477,RRab,i,18.179062,0.054383,1.043387,-1.789867,0.508803,0.066767,0.019727,18.802545,0.921383
464551308,0.620112,RRab,i,18.971727,0.027612,5.199691,-2.277998,0.513901,0.072837,0.034143,18.499340,1.051653
464555994,0.532588,RRab,i,19.105270,1.137237,20.660525,-1.774690,0.391653,0.075872,0.015933,18.528780,0.877490
464867772,0.602747,RRab,i,19.004629,0.193165,6.333890,-1.861610,0.440362,0.054628,0.022762,18.419145,0.926379
464973345,0.461207,RRab,i,19.127750,0.360710,5.501387,-1.150497,0.402212,0.065250,0.025797,18.508816,0.743075
464973763,0.632896,RRab,i,19.038794,0.106506,8.620136,-1.932587,0.465984,0.049317,0.034901,18.606828,0.961113
464973883,0.606125,RRab,i,19.004245,0.194908,6.407342,-1.791185,0.448006,0.055386,0.023520,18.597546,0.892180
464974674,0.720694,RRab,i,18.670436,0.016213,18.722378,-2.745303,0.410000,0.061456,0.034143,18.355070,1.213074
464977665,0.348010,RRc,i,19.196593,0.011189,11.248206,-1.739626,0.339667,0.054628,0.025797,18.500253,0.887126
464978546,0.572121,RRab,i,19.468880,0.094144,0.672843,-1.613907,0.442768,0.060698,0.022762,18.548768,0.878412
464983292,0.578787,RRab,i,18.754621,0.460595,3.902254,-1.563349,0.497184,0.066767,0.044006,18.427544,0.834179
464986302,0.684157,RRab,i,18.789026,0.214939,0.063440,-1.790740,0.647372,0.056904,0.021244,18.355344,0.930677
464989751,0.503168,RRab,i,18.117926,0.020069,3.522096,-1.686902,0.408992,0.064491,0.043247,18.343542,0.882099
464991724,0.622893,RRab,i,18.422096,0.110970,0.265472,-1.091232,0.497316,0.060698,0.030349,18.149139,0.725959
465002740,0.647264,RRab,i,18.472346,0.054489,2.164999,-1.893417,0.426974,0.062215,0.032625,18.320955,0.926946
465016521,0.481187,RRab,i,18.385565,0.075921,1.792089,-1.368253,0.510895,0.050075,0.032625,18.515407,0.779401
465016650,0.676250,RRab,i,18.583089,0.928195,6.852076,-1.935775,0.442573,0.066009,0.039454,18.261288,0.943407
465043138,0.559458,RRab,i,18.002518,0.327098,0.302301,-1.971303,0.660042,0.039453,0.038695,18.483214,0.997332
465063111,0.588964,RRab,i,18.826287,0.314295,4.952936,-2.075776,0.456039,0.046282,0.027314,18.544242,0.989937
465102894,0.568635,RRab,i,18.918779,0.024425,1.763661,-1.794905,0.433840,0.053110,0.033384,18.421006,0.920463
465105019,0.507082,RRab,i,18.974414,0.075237,0.438008,-1.051128,0.530504,0.063732,0.031866,18.216471,0.729433
465106607,0.549418,RRab,i,19.480231,0.015515,14.639363,-1.646039,0.433963,0.080424,0.032625,18.516690,0.867523
