#        1          2            3       4       5         6         7         8          9        10
#       RA         Dec        E(V-I)  -sigma  +sigma    (V-I)_RC  (V-I)_0  E(V-I)peak E(V-I)_SFD   box
#      [hr]       [deg]       median  [-34%]  [+34%]     median    [mag]      mode      [mag]    [arcmin]
    4.959571   -68.261559     0.146    0.060   0.071      1.029    0.883     0.140      0.588      3.4
    0.797712   -74.195198     0.027    0.038   0.028      0.888    0.861     0.029      0.070      3.4
    5.375969   -69.975891     0.123    0.053   0.064      1.011    0.888     0.122      0.920      3.4
    5.365630   -69.939926     0.181    0.114   0.168      1.069    0.888     0.127      1.318      3.4
    0.774042   -73.314827     0.099    0.095   0.124      0.971    0.871     0.095      1.076      3.4
    0.795432   -72.116890     0.042    0.031   0.027      0.908    0.866     0.044      0.092      3.4
    0.694893   -73.385872     0.050    0.047   0.050      0.919    0.869     0.053      0.148      3.4
    0.749852   -72.496651     0.050    0.042   0.041      0.919    0.869     0.053      0.116      3.4
    0.818400   -73.344528     0.054    0.075   0.092      0.925    0.871     0.070      0.680      3.4
    5.525380   -68.387604     0.360    0.145   0.193      1.247    0.887     0.381      1.957      3.4
    0.932508   -71.959381     0.066    0.054   0.053      0.933    0.867     0.073      0.223      3.4
    0.839652   -73.512550     0.065    0.059   0.063      0.934    0.869     0.071      0.403      3.4
    5.607578   -68.037308     0.160    0.057   0.057      1.046    0.886     0.170      0.450      3.4
    5.365352   -68.468552     0.155    0.085   0.123      1.041    0.887     0.135      1.004      3.4
    5.489357   -69.171997     0.115    0.067   0.073      1.003    0.889     0.123      0.530      3.4
    5.460614   -68.234802     0.122    0.049   0.066      1.009    0.887     0.127      0.537      3.4
    5.639077   -70.511070     0.209    0.079   0.095      1.096    0.887     0.214      0.899      3.4
    5.775930   -68.656158     0.199    0.057   0.064      1.085    0.886     0.197      0.685      3.4
    0.833324   -72.168793     0.042    0.051   0.055      0.910    0.868     0.033      0.135      3.4
    4.887499   -68.119843     0.156    0.086   0.113      1.038    0.882     0.154      0.464      3.4
    5.161941   -68.949562     0.080    0.063   0.071      0.966    0.886     0.079      2.850      3.4
    5.568775   -68.879906     0.110    0.049   0.045      0.997    0.888     0.116      0.985      3.4
    5.628172   -68.744804     0.287    0.103   0.120      1.174    0.887     0.282      1.063      3.4
    5.007361   -69.210251     0.093    0.054   0.055      0.977    0.884     0.096      0.327      3.4
    5.310717   -71.458778     0.089    0.069   0.061      0.974    0.885     0.097      0.154      3.4
    4.845307   -69.077766     0.210    0.072   0.092      1.092    0.882     0.220      0.879      3.4
    5.126552   -70.725250     0.124    0.052   0.070      1.008    0.885     0.119      0.406      3.4
    4.883660   -67.231720     0.058    0.053   0.065      0.939    0.881     0.058      0.449      3.4
    0.695372   -73.852409     0.056    0.041   0.036      0.921    0.865     0.063      0.092      3.4
    5.728921   -68.485596     0.126    0.062   0.077      1.011    0.886     0.115      0.549      3.4
    5.075788   -67.686722     0.099    0.058   0.050      0.982    0.883     0.104      0.364      3.4
    5.136329   -66.950951     0.091    0.059   0.056      0.974    0.883     0.107      0.215      3.4
    4.979702   -68.088074     0.129    0.068   0.079      1.012    0.883     0.131      0.335      3.4
    5.771638   -69.471886     0.345    0.152   0.152      1.231    0.886     0.380      1.779      3.4
    5.160349   -70.611877     0.115    0.060   0.063      1.000    0.885     0.121      0.260      3.4
    5.622053   -70.327866     0.165    0.078   0.097      1.052    0.887     0.168      0.920      3.4
    5.019910   -66.200531     0.075    0.059   0.078      0.956    0.881     0.048      0.286      3.4
    5.397067   -69.356377     0.094    0.067   0.089      0.982    0.888     0.093      1.254      3.4
    5.724645   -71.539551     0.143    0.060   0.062      1.027    0.884     0.147      0.301      3.4
    5.107232   -69.598236     0.117    0.055   0.055      1.002    0.885     0.121      0.198      3.4
    5.730554   -69.411743     0.487    0.301   0.455      1.374    0.887     0.466      2.393      3.4
    5.360965   -71.360252     0.094    0.037   0.033      0.979    0.885     0.102      0.254      3.4
    4.883940   -70.633881     0.140    0.066   0.071      1.022    0.883     0.146      0.329      3.4
    5.424143   -68.285767     0.271    0.139   0.144      1.158    0.887     0.313      1.248      3.4
    5.674650   -69.333366     0.395    0.152   0.196      1.282    0.887     0.383      2.550      3.4
    1.004362   -71.868210     0.051    0.039   0.039      0.917    0.866     0.051      0.319      3.4
    5.185930   -70.164841     0.069    0.053   0.057      0.955    0.886     0.071      0.366      3.4
    5.539532   -68.842781     0.120    0.053   0.058      1.008    0.888     0.124      0.822      3.4
    5.890172   -70.408165     0.090    0.046   0.047      0.975    0.885     0.091      0.147      3.4
    5.314105   -70.832024     0.104    0.062   0.065      0.990    0.886     0.112      0.245      3.4
    0.721819   -73.186516     0.081    0.071   0.073      0.952    0.870     0.091      0.359      3.4
    5.213880   -68.553009     0.104    0.053   0.057      0.990    0.886     0.109      0.529      3.4
    5.466124   -71.037247     0.091    0.048   0.056      0.977    0.886     0.092      0.570      3.4
    5.581056   -68.501381     0.095    0.053   0.056      0.982    0.887     0.096      0.572      3.4
    5.474430   -69.318642     0.091    0.060   0.055      0.980    0.889     0.100      0.386      3.4
    4.834774   -68.546013     0.169    0.067   0.074      1.051    0.882     0.171      0.396      3.4
    5.137214   -70.572525     0.142    0.087   0.100      1.027    0.885     0.142      0.414      3.4
    5.057100   -67.798798     0.084    0.065   0.066      0.968    0.883     0.100      0.398      3.4
    0.950425   -73.587036     0.037    0.060   0.047      0.903    0.866     0.046      0.118      3.4
    5.559880   -70.154037     0.119    0.078   0.082      1.007    0.888     0.127      0.876      3.4
    1.077222   -73.654221     0.034    0.042   0.046      0.895    0.860     0.030      0.069      3.4
    5.762941   -70.754181     0.160    0.069   0.088      1.046    0.885     0.143      0.580      3.4
    5.843153   -69.698601     0.124    0.059   0.067      1.009    0.885     0.115      0.380      3.4
    5.254972   -69.727158     0.115    0.062   0.059      1.002    0.887     0.120      0.517      3.4
    0.805977   -73.271950     0.085    0.087   0.107      0.957    0.872     0.091      1.335      3.4
    5.007259   -68.082680     0.139    0.089   0.126      1.023    0.883     0.125      0.446      3.4
    5.154107   -67.951050     0.092    0.054   0.057      0.977    0.884     0.095      0.417      3.4
    5.767738   -69.242783     0.268    0.110   0.119      1.155    0.886     0.281      1.421      3.4
    4.995266   -68.143677     0.110    0.054   0.071      0.993    0.883     0.108      0.356      3.4
    5.569058   -72.047112     0.101    0.051   0.058      0.985    0.884     0.090      0.161      3.4
    5.452847   -71.937263     0.117    0.035   0.036      1.002    0.884     0.121      0.209      3.4
    5.246563   -68.525612     0.100    0.052   0.042      0.986    0.886     0.107      0.344      3.4
    5.368063   -69.376511     0.069    0.069   0.074      0.957    0.888     0.074      0.423      3.4
    5.528972   -69.680908     0.120    0.056   0.061      1.008    0.889     0.124      0.749      3.4
    5.289519   -71.934448     0.101    0.052   0.075      0.985    0.884     0.094      0.160      3.4
    5.120936   -68.358315     0.128    0.065   0.084      1.013    0.885     0.125      0.775      3.4
    5.068814   -69.439804     0.076    0.047   0.050      0.961    0.885     0.081      0.154      3.4
    5.640938   -70.368759     0.262    0.134   0.166      1.149    0.887     0.254      1.321      3.4
    5.780645   -69.787399     0.346    0.201   0.219      1.232    0.886     0.373      1.610      3.4
    5.317649   -67.863976     0.148    0.072   0.065      1.034    0.885     0.160      0.580      3.4
    5.649481   -69.965645     0.336    0.168   0.223      1.223    0.887     0.323      2.333      3.4
    5.352592   -70.172974     0.129    0.058   0.069      1.017    0.887     0.138      0.713      3.4
    5.224126   -69.102646     0.131    0.078   0.101      1.017    0.886     0.130      1.449      3.4
    5.345244   -71.401756     0.099    0.047   0.053      0.985    0.885     0.104      0.218      3.4
    5.176249   -68.911545     0.082    0.054   0.059      0.968    0.886     0.089      3.193      3.4
    4.901206   -68.305130     0.171    0.060   0.068      1.053    0.882     0.169      0.513      3.4
    4.968414   -66.711792     0.070    0.046   0.040      0.951    0.881     0.077      0.264      3.4
    0.823974   -74.095589     0.058    0.031   0.028      0.920    0.862     0.057      0.078      3.4
    5.030720   -68.651878     0.093    0.051   0.058      0.977    0.884     0.098      0.422      3.4
    4.848507   -70.427528     0.159    0.073   0.100      1.041    0.882     0.151      0.251      3.4
    5.798735   -68.534554     0.199    0.082   0.074      1.084    0.885     0.214      0.476      3.4
    5.741861   -69.094505     0.192    0.069   0.080      1.079    0.886     0.194      1.103      3.4
    5.409914   -68.725525     0.111    0.047   0.046      0.998    0.888     0.118      0.467      3.4
    0.833425   -73.598877     0.051    0.080   0.068      0.919    0.868     0.067      0.239      3.4
    5.455803   -68.415939     0.101    0.045   0.055      0.988    0.887     0.099      0.574      3.4
    5.745521   -68.769699     0.240    0.102   0.134      1.126    0.886     0.223      1.474      3.4
    5.199112   -70.676003     0.105    0.060   0.054      0.991    0.885     0.110      0.269      3.4
    5.540563   -68.906418     0.155    0.070   0.076      1.043    0.888     0.166      1.216      3.4
    5.082594   -67.226524     0.086    0.057   0.059      0.969    0.883     0.091      0.372      3.4
    4.937690   -68.562256     0.137    0.057   0.060      1.020    0.883     0.148      0.631      3.4
    5.730348   -69.308868     0.391    0.247   0.361      1.278    0.887     0.452      2.950      3.4
    5.846200   -69.088570     0.225    0.075   0.078      1.110    0.885     0.229      0.449      3.4
    5.600544   -69.042953     0.570    0.171   0.215      1.458    0.888     0.537      2.999      3.4
    4.934757   -68.817802     0.154    0.065   0.068      1.037    0.883     0.165      0.570      3.4
    4.935222   -69.189865     0.099    0.042   0.041      0.982    0.883     0.098      0.689      3.4
    5.367396   -68.135216     0.226    0.156   0.236      1.112    0.886     0.115      1.659      3.4
    5.576783   -69.324936     0.145    0.062   0.058      1.033    0.888     0.153      0.753      3.4
    0.688288   -73.328903     0.060    0.042   0.039      0.928    0.869     0.063      0.141      3.4
    5.216907   -66.683754     0.092    0.051   0.047      0.974    0.883     0.095      0.240      3.4
    5.343553   -70.916351     0.076    0.046   0.044      0.962    0.886     0.076      0.182      3.4
    5.651711   -70.606667     0.224    0.086   0.084      1.111    0.886     0.236      0.893      3.4
    0.628847   -72.916542     0.046    0.031   0.023      0.912    0.866     0.050      0.095      3.4
    5.080569   -68.084541     0.087    0.060   0.074      0.971    0.884     0.080      0.842      3.4
    5.528387   -70.386009     0.122    0.073   0.085      1.009    0.887     0.131      0.543      3.4
    4.810193   -69.858116     0.144    0.052   0.039      1.026    0.882     0.165      0.181      3.4
    5.378382   -70.985626     0.077    0.039   0.037      0.963    0.886     0.081      0.153      3.4
    5.541968   -69.572548     0.136    0.071   0.082      1.025    0.889     0.140      0.728      3.4
    0.952298   -73.523773     0.041    0.052   0.041      0.908    0.866     0.054      0.133      3.4
    5.132316   -70.457161     0.101    0.073   0.064      0.986    0.885     0.115      0.398      3.4
    5.488482   -71.272606     0.095    0.049   0.047      0.980    0.886     0.099      0.429      3.4
    5.680696   -69.278069     0.314    0.141   0.172      1.202    0.887     0.308      2.495      3.4
    5.265295   -68.536728     0.087    0.053   0.050      0.973    0.886     0.092      0.397      3.4
    1.053347   -72.312973     0.043    0.048   0.046      0.911    0.868     0.047      0.221      3.4
    5.362593   -70.439369     0.102    0.052   0.053      0.989    0.887     0.104      0.286      3.4
    5.464360   -72.304657     0.129    0.041   0.051      1.012    0.883     0.132      0.134      3.4
    1.048169   -71.759850     0.074    0.045   0.060      0.938    0.864     0.069      0.300      3.4
    5.016258   -70.569351     0.097    0.069   0.057      0.981    0.884     0.110      0.150      3.4
    5.309312   -71.267303     0.110    0.072   0.061      0.995    0.885     0.122      0.429      3.4
    5.646418   -69.941742     0.362    0.176   0.214      1.250    0.887     0.383      2.482      3.4
    0.937588   -72.899841     0.072    0.061   0.057      0.946    0.874     0.086      0.344      3.4
    5.658805   -68.841911     0.300    0.133   0.176      1.187    0.887     0.279      3.463      3.4
    5.188479   -67.375832     0.139    0.061   0.059      1.022    0.884     0.144      0.382      3.4
    5.634321   -67.635780     0.129    0.055   0.063      1.014    0.885     0.126      0.564      3.4
    5.361144   -70.836060     0.101    0.067   0.065      0.987    0.886     0.120      0.213      3.4
    5.355931   -71.668060     0.115    0.053   0.059      1.000    0.885     0.103      0.368      3.4
    5.063366   -68.696480     0.082    0.046   0.049      0.966    0.884     0.087      0.266      3.4
    5.383168   -70.447388     0.115    0.041   0.044      1.002    0.887     0.112      0.292      3.4
    4.823559   -68.231964     0.133    0.060   0.077      1.015    0.881     0.142      0.260      3.4
    5.058162   -69.182106     0.122    0.060   0.064      1.007    0.885     0.121      0.516      3.4
    0.930625   -72.433662     0.052    0.061   0.057      0.924    0.873     0.059      0.473      3.4
    0.905188   -72.805016     0.075    0.077   0.069      0.950    0.876     0.091      0.456      3.4
    0.985551   -72.526184     0.120    0.071   0.071      0.992    0.872     0.131      0.427      3.4
    5.583669   -67.446999     0.122    0.082   0.076      1.007    0.885     0.124      1.107      3.4
    5.506944   -70.484497     0.077    0.049   0.048      0.965    0.887     0.083      0.221      3.4
